[],"RT @tedlieu: As a former prosecutor, I can tell you that how a target responds to allegations is something we watch closely.

Does @realDon…",juliereiber,New York City
[],RT @Acosta: Pelosi’s office says her delegation tried to continue with Afghanistan trip by flying commercial but that Trump letter exposed…,Dolphin_Tj34698,
[],"RT @Shakestweetz: So, Lindsey Graham is with Erdogan, Mike Pompeo's with North Korea, John Bolton is asking the Pentagon for plans to go to…",helvering,"Princeton, NJ, USA"
[],"RT @RB_killnem: Obama going to five guys and picking up the tab for the ppl in there isn’t  comparable to Trump planning a catered banquet,…",_PartyFeauxSean,
[],RT @SallyQYates: This shouldn’t get lost in the avalanche of crazy.  The wall we need is between DOJ and the White House. The foundation of…,Michael53834689,Mi
[],"RT @JacksonLeeTX18: If true, this is a serious breach of the @POTUS's constitutional oath to ""preserve, protect and defend"" the Constitutio…",Ismwatcher_up,
[],RT @kylegriffin1: Asked if she viewed Trump canceling her overseas congressional trip as retaliation for her calling to reschedule the Stat…,tylerelives,"Prospect Park South, Brooklyn"
[],"Again, Trump still being President is unprecedented in American history? @UCBerkeley https://t.co/e1raDuWkxg",hanjangho76,"San Jose, CA"
[],"RT @TopRopeTravis: Lindsey Graham flies to Turkey hours after Trump grounded Nancy Pelosi’s plane to visit troops in Afghanistan, citing no…",The_Otter_Queen,Trapped inside my own head
[],"RT @hardball: On Trump and the government shutdown, @HardballChris says: ""He's the one the buck stops with.”
https://t.co/cIV5IBUOKf",pfltobias,United States
[],"RT @ABC: Speaker Nancy Pelosi on whether Pres. Trump's cancellation of congressional trip was ""retaliation"" for her suggestion to reschedul…",AmyBethFreed1,"Lakeland, FL"
[],RT @krassenstein: The President is now implicated in 2 felonies related to campaign finance violations and at least one felony related to t…,BBCWBeaver,earth
[],RT @maydaymindy9: There was a point many moons ago when I thought Melania Trump was just an innocent who married the wrong dirty old man an…,David03404811,
[],RT @girlsreallyrule: Here is White House spokesperson Hogan Gidley refusing three times to answer whether Trump told Michael Cohen to lie t…,Defeat_Trump2,"The Milky Way Galaxy, Universe"
[],RT @DailyCaller: Live footage of Nancy Pelosi after finding out Trump grounded her flight https://t.co/1RGKdzfiSA,blueraider10,
[],"RT @benwikler: Strange grownups in uniforms putting you in a cage, taking your parents away, and then forgetting who you are is literally t…",luckylindy31,Dallas
[],RT @Lawrence: How many articles of impeachment is too many? https://t.co/ZLWDmpGJt5,jacobhwasserman,NJ
[],"RT @brycetache: If Trump, a pathological liar under multiple investigations, told Cohen to lie to Congress, then we have all the evidence w…",Grwow,"Kentucky, USA"
[],"Defying Trump Administration, Calif. Offers Federal Workers Unemployment Benefits https://t.co/sR36zNijkU",PSheppardTV,WorldWide 80Million StealthRUs
['Pelosi'],RT @AndyOstroy: Dear Future 2019 President #Pelosi: please hold your ground. Democrats cannot give an inch to this corrupt thieving traitor…,emmydarcy88,La La Land
[],"RT @TopRopeTravis: Lindsey Graham flies to Turkey hours after Trump grounded Nancy Pelosi’s plane to visit troops in Afghanistan, citing no…",BillShedd,"Texas, USA"
[],"@ElSoderbergho I know we all want to go back to before Trump was President, but not like this!",AVClubCZ,"Greendale County, CO"
[],RT @funder: BREAKING: The House Intel and House Judiciary Committees both confirm they are opening up investigations in to reports that Tru…,diegoh623,Bay Area
[],"RT @DavidCayJ: No denial by @realDonaldTrump or @WhiteHouse of @buzzfeed report accusing Trump of directing a felony from the Oval Office,…",vaculb,"Polk County, FL"
[],RT @natasharothwell: If BuzzFeed takes down Trump y'all gonna take those quizzes more seriously.,superiorlesbo,
[],RT @SusanHutcheson6: @JuliusWhigham With the shutdown guess you can only fly in a military plane if you are going to a Trump property. Anyo…,trumpscarnage,"Michigan, USA"
[],"RT @realDonaldTrump: “Former @NYTimes editor Jill Abramson rips paper's ‘unmistakably anti-Trump’ bias.”

Ms. Abramson is 100% correct. Hor…",RamonSalassar,"Denver, Colorado, The US"
[],"Trump:  Are you going to give me my wall?
Pelosi: No.
Trump: Bye.
Pelosi: No Trump in my House.
Trump: Hold my Big… https://t.co/vKMiF5phOX",babysgramma,
[],"RT @adriandt31: *PELOSI FREAKS*
Accuses Trump of Putting
Her Life in Danger By Pulling Plane Access &amp; ‘Leaking Commercial Travel Plans

@PO…",spears2345,chicago IL
[],"@LouDobbs God bless America. We have truly great leaders, President Trump and VP Pence, Make America Great Again ea… https://t.co/qPLGs8ksde",Jason76888132,
[],"RT @JoyceWhiteVance: If Trump told Cohen to lie to Congress, who else did he tell to lie to them? Did he tell anyone to lie to Mueller &amp; th…",Gdady22,Arizona and Alabama  #RTR
[],"RT @AlxThomp: Larry hogan as a primary challenger? He “has been implicitly going after Trump in speeches, meeting with Never Trump Republic…",HunterMw,
[],RT @kenolin1: DONALD TRUMP CONSPIRED WITH RUSSIA BECAUSE HE WANTED A STUPID HOTEL IN MOSCOW WITH HIS NAME ON IT AND GOLD TOILETS IN THE ROO…,_Shua_007,"Seattle, WA"
[],"RT @DerekCressman: Pelosi’s Trip Was Closely Held Military Secret, Trump Publicized It To Hurt Her
https://t.co/Dwq48iWcVf",ZanGreen1,
[],"RT @neal_katyal: My god. In the wake of the devastating Puerto Rico hurricane, ""Trump told then-White House Chief of Staff John F. Kelly ..…",valenciaj305,Miami
[],If that place was the vast expanse of the inside of @realDonaldTrump head then mission accomplished.,ggrmcd,Wherever I may be
[],"RT @NatashaBertrand: A similar bill, called the NATO Support Act, was introduced in the House today by Dem Rep. Jimmy Panetta. Co-sponsored…",tsimp512,"SLC, UT."
[],"RT @mattmfm: Once Trump has vacated the White House and this national nightmare is behind us, never ever forget the Republicans who knowing…",pyrmomma,NC
"['mexicanas', 'Trump', 'TheWall', 'TrumpShutdown2019']","RT @realimpe: @realDonaldTrump A message for #mexicanas from #Trump 
#TheWall 
#TrumpShutdown2019 https://t.co/yST8j1VLiE",RhiLezBReal,"Reno, NV"
